,City,Latitude,Longitude,Humidity,Pressure,Wind Speed (Mph),Cloud Cover (%),Temperature (F)
0,vila franca do campo,37.72,-25.43,93,1015,19.46,75,64.4
1,bredasdorp,-34.53,20.04,81,1020,4.7,72,51.8
2,codrington,-38.27,141.97,55,1002,32.37,100,53.67
3,sao joao da barra,-21.64,-41.05,86,1017,7.45,100,71.76
4,roebourne,-20.78,117.13,18,1016,20.45,0,81.39
5,castro,-24.79,-50.01,65,1019,1.41,13,58.87
6,rikitea,-23.12,-134.97,85,1014,15.01,64,79.23
7,pacific grove,36.62,-121.92,83,1019,4.0,24,54.86
8,itarema,-2.92,-39.92,88,1013,7.14,84,76.93
9,ostrovnoy,68.05,39.51,96,1015,9.13,99,28.83
10,fuling,29.7,107.39,52,1011,3.09,100,79.43
11,ballina,-28.87,153.57,37,1011,13.87,0,68.79
12,lavrentiya,65.58,-171.0,94,1010,3.65,0,28.15
13,saskylakh,71.92,114.08,95,1008,16.55,100,19.71
14,vikhorevka,56.12,101.16,61,1010,11.18,40,42.39
15,hermanus,-34.42,19.23,88,1019,3.44,100,59.0
16,hilo,19.73,-155.09,57,1018,10.29,90,76.96
17,sungaipenuh,-2.08,101.38,51,1010,3.04,90,80.02
18,port alfred,-33.59,26.89,78,1019,6.73,79,60.01
19,manoel urbano,-8.84,-69.26,91,1015,0.65,99,73.76
20,nikolskoye,59.7,30.79,87,1018,6.71,0,33.01
21,dingle,11.0,122.67,52,1010,11.27,88,91.29
22,erdenet,49.03,104.08,30,1007,12.5,81,60.28
23,sahuaripa,29.05,-109.23,14,1013,6.29,9,81.39
24,vardo,70.37,31.11,93,1016,9.19,56,31.96
25,muzhi,65.37,64.67,97,1011,12.86,100,18.77
26,kapaa,22.08,-159.32,65,1019,19.46,75,77.18
27,ancud,-41.87,-73.82,100,1021,4.7,100,47.16
28,albany,42.6,-73.97,89,1005,1.99,100,53.46
29,enshi,30.3,109.48,52,1011,1.86,100,81.07
30,butaritari,3.07,172.79,79,1006,16.8,8,83.84
31,punta arenas,-53.15,-70.92,75,1019,10.29,40,46.2
32,portland,45.52,-122.68,58,1019,5.73,36,54.81
33,vaini,-21.2,-175.2,75,1013,25.14,100,74.59
34,chokurdakh,70.63,147.92,96,1003,6.44,69,18.57
35,kuytun,54.34,101.5,39,1007,3.27,100,61.95
36,karrapur,23.95,78.85,16,1010,3.42,2,97.88
37,hofn,64.25,-15.21,72,1010,11.01,4,39.07
38,san patricio,19.22,-104.7,78,1014,3.69,0,71.01
39,conde,-7.26,-34.91,100,1015,5.82,20,75.2
40,mataura,-46.19,168.86,64,1014,3.62,0,60.8
41,lorengau,-2.02,147.27,77,1006,3.31,18,84.02
42,mahebourg,-20.41,57.7,69,1021,14.99,20,75.2
43,ushuaia,-54.8,-68.3,86,1017,19.46,75,39.2
44,kavieng,-2.57,150.8,74,1006,10.47,37,84.72
45,chimbote,-9.09,-78.58,84,1017,5.73,49,68.67
46,qaqortoq,60.72,-46.03,32,1021,16.11,11,39.2
47,sao paulo de olivenca,-3.38,-68.87,95,1014,0.89,95,74.26
48,bonfim,3.08,-59.95,63,1013,7.78,29,82.99
49,kyzyl-suu,42.34,78.0,32,1020,5.66,25,54.97
50,busselton,-33.65,115.33,31,1016,12.3,66,67.35
51,kailua,21.4,-157.74,57,1017,19.46,40,76.39
52,port elizabeth,-33.92,25.57,66,1019,6.93,13,51.8
53,raga,8.46,25.68,64,1012,5.41,79,73.27
54,katsuura,35.13,140.3,72,1014,26.4,20,70.79
55,kokstad,-30.55,29.42,51,1023,4.56,67,47.86
56,terrace,54.52,-128.6,61,1017,12.75,40,48.2
57,coquimbo,-29.95,-71.34,87,1016,3.36,64,55.4
58,aqtobe,50.28,57.21,54,1021,4.47,0,53.6
59,abis,9.72,122.94,66,1011,9.17,75,86.0
60,san roque,36.21,-5.38,82,1021,14.99,0,62.6
61,cherskiy,68.75,161.3,95,1005,12.93,95,33.4
62,chapais,49.78,-74.85,93,1004,13.87,90,41.0
63,saldanha,-33.01,17.94,93,1020,2.24,76,57.2
64,phalodi,27.13,72.37,12,1009,14.14,0,99.32
65,atuona,-9.8,-139.03,70,1011,18.12,15,81.95
66,haines junction,60.75,-137.51,59,1010,7.65,96,39.36
67,lebu,-37.62,-73.65,84,1019,1.88,9,53.58
68,kaitangata,-46.28,169.85,55,1014,4.0,0,62.01
69,sao miguel do araguaia,-13.28,-50.16,79,1015,2.24,57,69.66
70,namie,37.48,141.0,45,1014,4.0,61,73.36
71,touros,-5.2,-35.46,94,1014,5.82,40,77.0
72,tasiilaq,65.61,-37.64,85,1020,1.12,0,32.0
73,ede,52.03,5.66,93,998,10.29,75,45.55
74,belyy yar,53.6,91.39,35,1016,20.13,99,57.2
75,pochutla,15.74,-96.47,62,1011,3.36,0,82.99
76,bumba,2.18,22.47,86,1013,2.84,50,72.36
77,faanui,-16.48,-151.75,71,1011,6.55,42,82.98
78,bundaberg,-24.85,152.35,28,1012,11.41,90,74.79
79,severo-kurilsk,50.68,156.12,83,1010,12.08,100,40.24
80,san cristobal,7.77,-72.22,65,1015,2.39,82,67.73
81,abu samrah,35.3,37.18,52,1012,5.08,100,60.53
82,tatawin,32.93,10.45,39,1019,2.24,0,62.6
83,constitucion,-35.33,-72.42,67,1019,7.52,0,56.77
84,batemans bay,-35.72,150.18,41,999,1.01,100,59.0
85,samarai,-10.62,150.67,79,1006,10.51,43,83.53
86,odienne,9.51,-7.57,73,1012,2.66,6,75.0
87,mar del plata,-38.0,-57.56,100,1020,5.82,40,50.16
88,bethel,41.37,-73.41,93,1011,4.7,90,53.2
89,pevek,69.7,170.31,93,1009,8.48,0,25.05
90,meulaboh,4.14,96.13,72,1011,2.42,99,81.72
91,bluff,-46.6,168.33,54,1015,10.0,1,68.0
92,victor harbor,-35.57,138.62,92,1011,4.0,63,57.99
93,mehamn,71.04,27.85,93,1014,8.79,0,26.15
94,lompoc,34.64,-120.46,54,1015,12.75,1,57.69
95,gizo,-8.1,156.84,73,1006,7.4,14,85.66
96,saint george,37.1,-113.58,16,1010,5.82,1,81.23
97,norman wells,65.28,-126.83,68,1018,6.93,75,24.8
98,new norfolk,-42.78,147.06,79,985,3.0,51,54.32
99,logrono,42.47,-2.45,82,1014,5.82,40,55.4
100,qaanaaq,77.48,-69.36,91,1012,3.56,99,13.5
101,cabo san lucas,22.89,-109.91,73,1004,10.78,0,75.85
102,paralimni,35.04,33.98,87,1011,4.7,20,58.82
103,georgetown,5.41,100.34,88,1011,4.7,20,81.09
104,javanrud,34.8,46.52,87,1018,3.8,20,44.6
105,yar-sale,66.83,70.83,94,1015,15.21,9,20.34
106,luganville,-15.53,167.17,70,1008,9.17,40,86.0
107,vilcun,-38.65,-72.23,100,1020,1.12,90,45.79
108,freeport,40.66,-73.58,100,1009,19.46,90,53.78
109,yellowknife,62.46,-114.35,74,1014,10.29,75,35.29
110,tulun,54.56,100.58,42,1007,3.51,100,62.6
111,barrow,71.29,-156.79,84,1013,4.7,1,5.0
112,khanpur,28.65,70.66,14,1007,12.68,0,102.6
113,linxi,39.7,118.43,19,1004,12.3,0,94.26
114,tuatapere,-46.13,167.68,54,1015,10.0,12,68.0
115,roald,62.58,6.13,80,997,2.24,100,42.62
116,east london,-33.02,27.91,59,1019,10.29,99,64.4
117,vilkija,55.05,23.58,84,1011,4.7,82,39.2
118,sable-sur-sarthe,47.84,-0.33,81,1005,8.05,90,50.94
119,behbahan,30.6,50.24,77,1014,0.92,9,64.4
120,schroeder,-26.41,-49.07,72,1017,4.0,91,68.99
121,hamilton,39.18,-84.53,76,1011,9.17,90,47.28
122,provideniya,64.38,-173.3,91,1010,2.13,95,29.79
123,zhangjiakou,40.81,114.88,8,1003,2.57,0,87.84
124,clarksburg,39.28,-80.34,81,1008,6.93,90,47.44
125,port lincoln,-34.73,135.87,65,1019,25.68,78,61.59
126,mitchell,43.71,-98.03,42,1008,13.87,1,64.4
127,piacabucu,-10.41,-36.43,86,1015,3.8,84,77.38
128,kodiak,57.79,-152.41,49,1003,14.99,1,48.2
129,bengkulu,-3.8,102.27,63,1009,7.52,7,86.07
130,jamestown,42.1,-79.24,93,1006,4.47,90,42.8
131,paciran,-6.88,112.38,70,1009,4.52,8,84.99
132,wajima,37.4,136.9,60,1014,25.28,75,68.0
133,thompson,55.74,-97.86,89,1011,10.29,75,44.6
134,rocha,-34.48,-54.33,76,1019,8.99,88,58.03
135,nanortalik,60.14,-45.24,86,1021,8.97,38,35.28
136,bonavista,48.65,-53.11,82,1024,9.08,20,32.0
137,port hedland,-20.32,118.57,14,1016,14.99,0,80.6
